sponsor_id,name,logo,url,active,display_order,group
S001,内藤環境管理株式会社,images/partners_naitou.jpg,http://www.knights.co.jp/,TRUE,1,ユニフォームスポンサー
S002,医療法人有隣会わかくさ病院,images/partners_wakakusa.jpg,http://www.wakakusa-hospital.com/,TRUE,2,ユニフォームスポンサー
S003,【要確認】hashimoto,images/partners_hashimoto.jpg,,TRUE,3,ユニフォームスポンサー
S004,エコルア,images/partners_ecolua.jpg,https://www.instagram.com/ecoluahair/?hl=ja,TRUE,4,ユニフォームスポンサー
S005,かなえ歯科クリニック,images/partners_Kanae.jpg,http://www.kanae-dc.net/,TRUE,5,ユニフォームスポンサー
S006,株式会社白井商事,images/partners_shirai.jpg,https://www.shirai.co.jp/,TRUE,6,ユニフォームスポンサー
S007,【要確認】orange,images/partners_orange.jpg,,TRUE,7,ユニフォームスポンサー
S008,株式会社トリア,images/partners_tria.jpg,http://3tria.com/,TRUE,8,ユニフォームスポンサー
S009,【要確認】tomo,images/partners_tomo.jpg,,TRUE,9,サポートスポンサー
S010,【要確認】hotelnewsaitama,images/partners_hotelnewsaitama.jpg,,TRUE,10,サポートスポンサー
S011,【要確認】kyoeikai,images/partners_kyoeikai.jpg,,TRUE,11,サポートスポンサー
S012,オーガニックジム,images/partners_organicgym.jpg,https://organic-gym.com/,TRUE,12,サポートスポンサー
S013,有限会社　豊曜商事,images/partners_houyoushoji.jpg,https://www.houyoushoji.co.jp/,TRUE,13,サポートスポンサー
S014,【要確認】kamiya,images/partners_kamiya.jpg,,TRUE,14,サポートスポンサー
S015,ひと声,images/partners_hitokoe.jpg,http://www.hitokoe.jp/,TRUE,15,サポートスポンサー
S016,【要確認】maruhachi,images/partners_maruhachi.jpg,,TRUE,16,サポートスポンサー
S017,【要確認】yuzuha,images/partners_yuzuha.jpg,,TRUE,17,サポートスポンサー
S018,株式会社アーバン通商,images/partners_urban.jpg,http://www.urban-cop.com/,TRUE,18,サポートスポンサー
S019,【要確認】earlgrey,images/partners_earlgrey.jpg,,TRUE,19,サポートスポンサー
S020,【要確認】issa,images/partners_issa.jpg,,TRUE,20,サポートスポンサー
S021,【要確認】earnest,images/partners_earnest.jpg,,TRUE,21,サポートスポンサー
S022,健接骨院,images/partners_ken.jpg,https://ken-seikotsuin.webnode.jp/,TRUE,22,サポートスポンサー
S023,【要確認】bambooj2,images/partners_bambooj2.jpg,,TRUE,23,サポートスポンサー
S024,バーレベルストック,images/partners_revelstoke.jpg,http://www.revelstoke.jp/,TRUE,24,サポートスポンサー
S025,フライングエッグおちあい,images/partners_ochiai2.jpg,https://flyingegg1126.jimdo.com/,TRUE,25,サポートスポンサー
S026,【要確認】aiko,images/partners_aiko.jpg,,TRUE,26,サポートスポンサー
S027,【要確認】kiyoshin,images/partners_kiyoshin.jpg,,TRUE,27,サポートスポンサー
S028,すぎもとインテリア,images/partners_sugimoto.jpg,http://www.curtain-stage.com/,TRUE,28,サポートスポンサー
S029,しんやまはねき接骨院,images/partners_shinyama.jpg,http://shinyamahaneki.com/,TRUE,29,サポートスポンサー
S030,【要確認】koseido,images/partners_koseido.jpg,,TRUE,30,サポートスポンサー
S031,【要確認】hinomaru,images/partners_hinomaru.jpg,,TRUE,31,サポートスポンサー
S032,【要確認】thewall,images/partners_thewall.jpg,,TRUE,32,サポートスポンサー
