match_id,date,kickoff_time,competition,opponent,home_away,venue,area_score,opponent_score,status,note,sample
M001,2023/03/12,,さいたま市北部(1部) 第1節,NSM,,,2,1,finished,,FALSE
M002,2023/03/19,,さいたま市北部(1部) 第2節,SAITAMA CITY FC,,,6,1,finished,,FALSE
M003,2023/04/09,,さいたま市北部(1部) 第3節,AS ROBS,,,5,0,finished,,FALSE
M004,2023/05/07,,さいたま市北部(1部) 第4節,下落合FC,,,,,cancelled,延期,FALSE
M005,2023/05/21,,さいたま市北部(1部) 第5節,モリタ東京製作所,,,,,cancelled,延期,FALSE
M006,2023/06/04,,さいたま市北部(1部) 第6節,マスターズ,,,,,cancelled,延期,FALSE
M007,2023/06/18,,さいたま市北部(1部) 第7節,NS SAITAMA,,,,,scheduled,vs,FALSE
M008,2023/07/02,,さいたま市北部(1部) 第8節,FC ARAO,,,,,scheduled,vs,FALSE
M009,2023/07/09,,さいたま市北部(1部) 第9節,KS UNITED SC,,,,,scheduled,vs,FALSE
M010,2023/07/23,,さいたま市北部(1部) 第10節,バストエイリアンズ,,,,,scheduled,vs,FALSE
M011,2024/06/09,,埼玉県3部南部地区リーグ 第8節,ネオ上尾,,,1,2,finished,,FALSE
M012,2024/06/23,,埼玉県3部南部地区リーグ 第9節,GRANDE FC,,,,,scheduled,,FALSE
M101,2026/09/13,10:00,埼玉県3部南部地区リーグ 第12節,NS SAITAMA,HOME,大谷場グラウンド,,,scheduled,,TRUE
M102,2026/09/27,12:30,埼玉県3部南部地区リーグ 第13節,FC ARAO,AWAY,浦和駒場スタジアム 補助,,,scheduled,,TRUE
M103,2026/10/11,10:00,埼玉県3部南部地区リーグ 第14節,KS UNITED SC,HOME,大谷場グラウンド,,,scheduled,,TRUE
M104,2026/08/30,10:00,埼玉県3部南部地区リーグ 第11節,バストエイリアンズ,HOME,大谷場グラウンド,3,1,finished,,TRUE
M105,2026/08/16,12:30,埼玉県3部南部地区リーグ 第10節,モリタ東京製作所,AWAY,上尾運動公園,2,2,finished,,TRUE
M106,2026/07/26,10:00,埼玉県3部南部地区リーグ 第9節,下落合FC,HOME,大谷場グラウンド,4,0,finished,,TRUE
M107,2026/07/12,10:00,埼玉県3部南部地区リーグ 第8節,AS ROBS,AWAY,さいたま市営浦和北公園,1,2,finished,,TRUE
M108,2026/06/21,10:00,埼玉県3部南部地区リーグ 第7節,SAITAMA CITY FC,HOME,大谷場グラウンド,2,0,finished,,TRUE
