sponsor_id,name,logo,url,tier,active,display_order
S001,内藤環境管理株式会社,partners_naitou,http://www.knights.co.jp/,ユニフォームスポンサー,TRUE,1
S002,医療法人有隣会わかくさ病院,partners_wakakusa,http://www.wakakusa-hospital.com/,ユニフォームスポンサー,TRUE,2
S003,【要確認】hashimoto,partners_hashimoto,,ユニフォームスポンサー,TRUE,3
S004,エコルア,partners_ecolua,https://www.instagram.com/ecoluahair/?hl=ja,ユニフォームスポンサー,TRUE,4
S005,かなえ歯科クリニック,partners_Kanae,http://www.kanae-dc.net/,ユニフォームスポンサー,TRUE,5
S006,株式会社白井商事,partners_shirai,https://www.shirai.co.jp/,ユニフォームスポンサー,TRUE,6
S007,【要確認】orange,partners_orange,,ユニフォームスポンサー,TRUE,7
S008,株式会社トリア,partners_tria,http://3tria.com/,ユニフォームスポンサー,TRUE,8
S009,【要確認】tomo,partners_tomo,,サポートスポンサー,TRUE,9
S010,【要確認】hotelnewsaitama,partners_hotelnewsaitama,,サポートスポンサー,TRUE,10
S011,【要確認】kyoeikai,partners_kyoeikai,,サポートスポンサー,TRUE,11
S012,オーガニックジム,partners_organicgym,https://organic-gym.com/,サポートスポンサー,TRUE,12
S013,有限会社　豊曜商事,partners_houyoushoji,https://www.houyoushoji.co.jp/,サポートスポンサー,TRUE,13
S014,【要確認】kamiya,partners_kamiya,,サポートスポンサー,TRUE,14
S015,ひと声,partners_hitokoe,http://www.hitokoe.jp/,サポートスポンサー,TRUE,15
S016,【要確認】maruhachi,partners_maruhachi,,サポートスポンサー,TRUE,16
S017,【要確認】yuzuha,partners_yuzuha,,サポートスポンサー,TRUE,17
S018,株式会社アーバン通商,partners_urban,http://www.urban-cop.com/,サポートスポンサー,TRUE,18
S019,【要確認】earlgrey,partners_earlgrey,,サポートスポンサー,TRUE,19
S020,【要確認】issa,partners_issa,,サポートスポンサー,TRUE,20
S021,【要確認】earnest,partners_earnest,,サポートスポンサー,TRUE,21
S022,健接骨院,partners_ken,https://ken-seikotsuin.webnode.jp/,サポートスポンサー,TRUE,22
S023,【要確認】bambooj2,partners_bambooj2,,サポートスポンサー,TRUE,23
S024,バーレベルストック,partners_revelstoke,http://www.revelstoke.jp/,サポートスポンサー,TRUE,24
S025,フライングエッグおちあい,partners_ochiai2,https://flyingegg1126.jimdo.com/,サポートスポンサー,TRUE,25
S026,【要確認】aiko,partners_aiko,,サポートスポンサー,TRUE,26
S027,【要確認】kiyoshin,partners_kiyoshin,,サポートスポンサー,TRUE,27
S028,すぎもとインテリア,partners_sugimoto,http://www.curtain-stage.com/,サポートスポンサー,TRUE,28
S029,しんやまはねき接骨院,partners_shinyama,http://shinyamahaneki.com/,サポートスポンサー,TRUE,29
S030,【要確認】koseido,partners_koseido,,サポートスポンサー,TRUE,30
S031,【要確認】hinomaru,partners_hinomaru,,サポートスポンサー,TRUE,31
S032,【要確認】thewall,partners_thewall,,サポートスポンサー,TRUE,32
