開催日,開始時刻,大会名,対戦相手,ホーム／アウェイ,会場,AREA得点,相手得点,状態,備考,サンプル
2023/03/12,,さいたま市北部(1部) 第1節,NSM,,,2,1,,,
2023/03/19,,さいたま市北部(1部) 第2節,SAITAMA CITY FC,,,6,1,,,
2023/04/09,,さいたま市北部(1部) 第3節,AS ROBS,,,5,0,,,
2023/05/07,,さいたま市北部(1部) 第4節,下落合FC,,,,,延期,,
2023/05/21,,さいたま市北部(1部) 第5節,モリタ東京製作所,,,,,延期,,
2023/06/04,,さいたま市北部(1部) 第6節,マスターズ,,,,,延期,,
2023/06/18,,さいたま市北部(1部) 第7節,NS SAITAMA,,,,,,vs,
2023/07/02,,さいたま市北部(1部) 第8節,FC ARAO,,,,,,vs,
2023/07/09,,さいたま市北部(1部) 第9節,KS UNITED SC,,,,,,vs,
2023/07/23,,さいたま市北部(1部) 第10節,バストエイリアンズ,,,,,,vs,
2024/06/09,,埼玉県3部南部地区リーグ 第8節,ネオ上尾,,,1,2,,,
2024/06/23,,埼玉県3部南部地区リーグ 第9節,GRANDE FC,,,,,,,
2026/06/21,10:00,埼玉県3部南部地区リーグ 第7節,SAITAMA CITY FC,ホーム,大谷場グラウンド,2,0,,,はい
2026/07/12,10:00,埼玉県3部南部地区リーグ 第8節,AS ROBS,アウェイ,さいたま市営浦和北公園,1,2,,,はい
2026/07/26,10:00,埼玉県3部南部地区リーグ 第9節,下落合FC,ホーム,大谷場グラウンド,4,0,,,はい
2026/08/16,12:30,埼玉県3部南部地区リーグ 第10節,モリタ東京製作所,アウェイ,上尾運動公園,2,2,,,はい
2026/08/30,10:00,埼玉県3部南部地区リーグ 第11節,バストエイリアンズ,ホーム,大谷場グラウンド,3,1,,,はい
2026/09/13,10:00,埼玉県3部南部地区リーグ 第12節,NS SAITAMA,ホーム,大谷場グラウンド,,,,,はい
2026/09/27,12:30,埼玉県3部南部地区リーグ 第13節,FC ARAO,アウェイ,浦和駒場スタジアム 補助,,,,,はい
2026/10/11,10:00,埼玉県3部南部地区リーグ 第14節,KS UNITED SC,ホーム,大谷場グラウンド,,,,,はい
